#{"t_start": 1660922430.7415452, "env_id": null}
r,l,t
-69,25,0.031065
-24,11,0.040874
-25,11,0.050205
-13,8,0.057321
-18,11,0.066656
-11,6,0.072088
-13,8,0.079068
-42,18,0.094563
-21,10,0.103171
-24,12,0.113579
-12,9,0.121167
-22,11,0.130805
-18,9,0.138491
-33,13,0.149774
-44,17,0.164213
-24,12,0.17472
-12,7,0.180831
-20,11,0.19031
-2,6,0.195706
-44,18,0.211065
-7,5,0.215712
-15,9,0.223602
-4,5,0.22808
-21,10,0.236831
-27,11,0.246393
-35,16,0.259824
-18,10,0.268467
-16,10,0.277336
-14,8,0.284288
-5,6,0.28973
-48,17,0.304292
-4,5,0.308736
-21,10,0.317361
-15,9,0.325204
-9,5,0.329711
-34,13,0.340826
-5,5,0.345206
-47,20,0.362469
-24,11,0.371731
-24,11,0.381219
-27,13,0.392138
-17,9,0.400045
-20,10,0.408786
-34,14,0.420658
-10,7,0.426841
-13,8,0.433963
-32,15,0.446568
-5,5,0.450989
-9,9,0.59785
-7,9,0.605955
-20,10,0.615138
-17,10,0.624779
-11,7,0.631544
-7,7,0.637703
-12,6,0.642958
-14,9,0.651025
-23,12,0.661681
-19,10,0.670552
-16,11,0.680242
-6,7,0.686401
-26,11,0.696044
-8,6,0.701373
-39,15,0.71416
-17,7,0.720444
-10,7,0.726717
-14,8,0.733853
-14,8,0.740617
-12,6,0.745835
-11,8,0.752846
-19,10,0.7617
-9,7,0.767693
-22,10,0.776469
-9,7,0.782654
-2,6,0.787992
-12,7,0.794331
-14,8,0.801301
-19,9,0.8091
-15,10,0.817713
-9,6,0.823319
-20,11,0.833833
-11,7,0.840205
-9,6,0.845408
-10,7,0.851534
-9,7,0.857808
-17,8,0.864809
-21,8,0.871767
-13,8,0.878913
-16,10,0.887774
-20,11,0.897454
-14,9,0.905158
-9,6,0.910587
-17,9,0.918512
-21,12,0.929082
-20,11,0.93839
-13,7,0.944644
-10,7,0.950855
-8,7,0.957254
-17,9,0.965003
-7,5,0.969428
-11,7,0.975702
-12,9,0.98359
-33,14,0.995691
-28,14,1.007904
-17,9,1.015766
-14,9,1.024097
-12,7,1.031002
-18,8,1.038136
-9,6,1.043559
-4,6,1.225737
-17,9,1.233398
-42,20,1.250352
-16,9,1.258179
-24,11,1.267461
-16,8,1.274546
-5,7,1.280764
-21,10,1.289234
-8,7,1.29527
-2,6,1.300527
-16,10,1.309128
-18,9,1.317075
-3,6,1.322416
-18,10,1.33106
-2,6,1.336211
-12,8,1.343341
-15,8,1.350231
-24,11,1.359685
-16,10,1.368307
-7,7,1.374382
-25,12,1.384569
1,6,1.389958
-12,9,1.397859
-11,7,1.403932
-10,6,1.409134
-16,11,1.418744
-6,6,1.424089
-16,8,1.431074
-15,10,1.439708
-31,14,1.451676
-8,7,1.457765
-8,6,1.462992
-22,11,1.472674
-17,9,1.480626
-1,6,1.485857
-11,7,1.49198
-13,8,1.498881
-13,9,1.506759
-22,10,1.515306
-8,8,1.522381
-10,8,1.52935
-8,7,1.535318
-7,6,1.540777
-22,9,1.548542
-11,9,1.5563
-6,7,1.562515
-5,8,1.569269
-21,13,1.58035
-14,9,1.588161
-2,6,1.593567
-32,15,1.606435
-3,5,1.610974
-5,6,1.61635
-6,6,1.621515
-6,7,1.627543
-9,8,1.634686
-24,13,1.645712
-11,9,1.653485
-26,12,1.663785
-2,6,1.846282
-15,9,1.854209
0,5,1.858752
-15,11,1.868083
-2,6,1.873521
-6,7,1.87962
2,5,1.884054
-12,8,1.891243
0,5,1.89585
-19,11,1.905387
-2,5,1.909783
-8,6,1.915089
-9,9,1.922853
-11,8,1.930063
-2,6,1.935465
-25,13,1.946498
-47,24,1.967046
-4,5,1.971581
-9,9,1.979469
-2,6,1.984624
-7,7,1.990849
-3,5,1.995269
-8,7,2.001266
-8,7,2.007534
-10,8,2.014584
-20,10,2.023255
-5,6,2.029737
-12,10,2.038355
-10,8,2.045442
-6,7,2.051567
-13,10,2.060262
-1,5,2.064804
-20,14,2.076566
-15,9,2.084317
-16,11,2.093847
-8,8,2.100977
-15,10,2.109784
-7,8,2.116804
-3,6,2.12215
-1,6,2.127394
-2,5,2.131823
-18,12,2.142275
-12,10,2.150951
0,5,2.155404
-8,8,2.162411
-15,8,2.169308
-19,10,2.178043
-7,8,2.184998
-18,9,2.192672
-6,6,2.197958
-14,11,2.207402
-7,9,2.215158
-2,5,2.219544
-11,9,2.228457
