#{"t_start": 1660723262.5721529, "env_id": null}
r,l,t
-12,13,0.015636
-5,9,0.024034
-10,13,0.037376
-17,19,0.099269
-9,15,0.114001
-3,9,0.122336
-10,12,0.135111
-3,7,0.142437
-23,26,0.166959
-8,7,0.174192
-4,7,0.181455
-7,9,0.18979
-16,22,0.209247
-4,7,0.216482
-6,12,0.229198
-25,22,0.250348
-14,12,0.26042
-8,11,0.269899
-20,24,0.292135
-3,7,0.299241
-8,12,0.311869
-13,16,0.326847
-15,19,0.343523
-4,7,0.350682
-4,7,0.357821
-3,7,0.364961
-6,7,0.372064
-8,12,0.382091
-19,19,0.401839
-13,12,0.412085
-15,14,0.426578
-9,12,0.437022
-3,7,0.444251
-48,49,0.490206
-8,13,0.503975
-7,11,0.513562
-11,12,0.526368
-18,20,0.544145
-12,14,0.558096
-5,7,0.565259
-5,7,0.572373
-14,12,0.582413
-24,26,0.608539
-5,9,0.616823
-9,11,0.626391
-5,7,0.633504
-4,7,0.640595
-5,7,0.647677
-6,7,0.654768
-11,12,0.664769
-5,11,0.674226
-9,9,0.685133
-5,7,0.689636
-17,19,0.708936
-22,27,0.734131
-8,9,0.742702
-11,17,0.758532
-13,16,0.773594
-10,17,0.791696
-8,9,0.800004
-12,15,0.814543
-4,7,0.819096
-16,17,0.83728
-6,7,0.841767
-28,32,0.871293
-7,12,0.884292
-14,17,0.899969
-12,17,0.915457
-7,12,0.928135
-17,16,0.943289
-9,14,0.954727
-24,24,0.977534
-3,7,0.984776
-7,9,0.995819
-3,7,1.00315
-17,20,1.023253
-6,9,1.031599
-14,14,1.045504
-4,9,1.053791
-10,12,1.063791
-10,14,1.077551
-36,32,1.106987
-5,9,1.115371
-9,12,1.127966
-7,9,1.136194
-9,9,1.144442
-11,16,1.159435
-12,13,1.172987
0,7,1.177467
-11,14,1.191227
-10,12,1.203743
-11,12,1.213668
-13,18,1.229756
-12,14,1.243656
-10,11,1.255818
-6,11,1.265229
-24,26,1.288491
-27,30,1.31677
-17,16,1.331664
-5,7,1.338717
-25,32,1.368748
-8,12,1.378701
-1,7,1.385875
-21,24,1.408018
-25,27,1.434509
-14,12,1.444474
-9,12,1.457043
-13,14,1.468165
-12,12,1.480806
-4,7,1.487876
-19,19,1.504533
-6,7,1.511602
-9,12,1.52158
-28,32,1.550949
-17,22,1.572299
-6,7,1.579387
-13,14,1.593214
-17,22,1.614337
-7,9,1.62266
-2,9,1.630934
-12,13,1.641636
-5,9,1.652475
-3,7,1.65694
-25,25,1.682427
-1,7,1.686898
-18,17,1.704993
-10,12,1.714953
-8,12,1.727497
-14,22,1.74596
-3,7,1.753134
-11,12,1.765813
-2,7,1.772902
-2,7,1.777367
-3,7,1.784451
-16,22,1.805499
-14,17,1.821052
-9,11,1.833087
-20,27,1.856991
-13,14,1.870698
-27,31,1.899572
-9,12,1.909554
-2,7,1.916622
-8,9,1.924856
-9,17,1.940265
-14,14,1.954068
-7,9,1.962349
-37,32,1.991698
-19,16,2.006637
-29,27,2.030531
-9,11,2.042697
-5,12,2.052686
-19,17,2.068267
-3,7,2.075337
-20,22,2.096325
-9,12,2.108933
-11,11,2.118387
-11,14,2.132094
-21,22,2.150431
-7,7,2.157578
-26,32,2.18795
-2,7,2.195043
-15,19,2.214291
-5,9,2.222562
-6,9,2.230824
-25,32,2.260445
-14,14,2.274237
-4,7,2.278695
-27,24,2.300869
-3,7,2.307936
-16,22,2.329101
-7,7,2.336198
-4,7,2.344752
-7,9,2.353053
-28,29,2.381368
-4,7,2.385985
-6,7,2.393108
-15,16,2.408019
-4,7,2.415051
-8,12,2.427569
-11,11,2.437537
-9,12,2.450702
-13,14,2.461956
-12,14,2.475772
-12,12,2.488432
-8,12,2.498421
-20,19,2.515034
-22,26,2.540945
-20,19,2.558007
-14,14,2.572192
-3,7,2.579261
-3,9,2.587683
-6,7,2.594771
-4,7,2.602153
-12,14,2.613407
-3,7,2.620816
-11,17,2.636328
-24,22,2.657318
-14,17,2.672826
-1,7,2.679894
-7,9,2.688146
-12,17,2.703685
-5,7,2.710805
-10,14,2.724571
-31,37,2.759801
-2,7,2.764319
-12,14,2.778289
-2,9,2.786563
-18,19,2.806146
-16,15,2.820546
-18,17,2.836126
-7,7,2.843301
-17,19,2.859964
-13,20,2.87738
-10,12,2.890595
-8,17,2.906314
-36,32,2.935891
-16,17,2.951384
-11,17,2.96689
-15,17,2.982424
-5,7,2.989515
-30,31,3.018311
-31,40,3.05504
-15,17,3.070464
-9,14,3.084276
-8,9,3.092581
-16,18,3.1087
-32,32,3.138061
-10,11,3.150031
-21,20,3.167497
-7,7,3.17477
-16,15,3.189168
-5,7,3.196231
-4,7,3.203285
-18,17,3.218698
-5,9,3.226913
-16,16,3.241831
-10,11,3.251647
-21,22,3.272601
-4,7,3.279651
-5,7,3.286794
-7,14,3.300502
-2,7,3.307537
-14,17,3.322956
-9,12,3.33303
-14,17,3.348756
-17,17,3.364856
-18,17,3.38358
-21,27,3.407546
-5,7,3.414597
-8,9,3.422805
-18,21,3.443226
-7,9,3.451567
