#{"t_start": 1664210125.145177, "env_id": null}
r,l,t
-55,23,0.031847
-15,9,0.035252
-15,7,0.037851
-21,10,0.041415
-14,10,0.044938
-47,20,0.0515
-22,11,0.055537
-10,7,0.058011
-24,11,0.061972
-19,10,0.0655
-17,11,0.069275
-27,13,0.0738
-26,12,0.078382
-23,11,0.082047
-16,9,0.085374
-14,9,0.088491
-17,11,0.092399
-8,6,0.094609
-15,7,0.09688
-24,11,0.100842
-46,16,0.106605
-7,7,0.109129
-11,7,0.111558
-31,16,0.116688
-35,14,0.121735
-16,10,0.125018
-10,7,0.127803
-10,7,0.130452
-24,11,0.134892
-15,9,0.138036
-20,11,0.142059
-23,12,0.14625
-20,10,0.149941
-20,10,0.153559
-31,14,0.158595
-19,8,0.161809
-14,9,0.165059
-5,6,0.167588
-20,10,0.171239
-10,6,0.173679
-8,7,0.176356
-40,18,0.182464
-18,11,0.18639
-9,7,0.188759
-19,9,0.192137
-13,8,0.195078
-3,6,0.19734
-13,9,0.200661
-15,8,0.2039
-20,12,0.208598
-15,9,0.211922
-30,12,0.216149
-7,7,0.219398
-23,12,0.223667
-16,9,0.22716
-27,13,0.231873
-26,12,0.236656
-14,9,0.239951
-14,9,0.243823
-22,10,0.247477
-16,8,0.250621
-4,6,0.25301
-24,12,0.257548
-29,12,0.262144
-28,12,0.266932
-18,8,0.270249
-12,7,0.272878
-22,12,0.277506
-21,10,0.281319
-27,12,0.285519
-15,9,0.289168
-26,11,0.293179
-28,14,0.298493
-10,7,0.301329
-13,7,0.304197
-28,13,0.308874
-19,10,0.312924
-18,10,0.316247
-24,12,0.320931
-26,12,0.325203
-15,8,0.328284
-15,8,0.331453
-34,15,0.336808
-17,9,0.339952
-9,8,0.343084
-17,10,0.346795
-16,10,0.350217
-7,8,0.35327
-10,7,0.356131
-4,5,0.358388
-14,8,0.36132
-23,13,0.365886
-20,9,0.369418
-14,8,0.372246
-15,9,0.375509
-8,7,0.377998
-33,14,0.382936
-5,6,0.385349
-16,9,0.388637
-37,17,0.394331
-8,6,0.396873
-9,6,0.398943
-7,6,0.401291
-22,9,0.404715
-23,12,0.409421
-33,16,0.415064
-25,11,0.41904
-9,7,0.421864
-26,13,0.42684
-31,15,0.431782
-25,12,0.435847
-16,10,0.439809
-16,9,0.443371
-23,10,0.447041
-18,10,0.450473
-36,13,0.454871
-11,7,0.458096
-24,13,0.462653
-13,8,0.465588
-19,9,0.469324
-19,10,0.473233
